Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","SMD-0603",12.8960,9.7500,90.0000,bottom
"C3","10uF","SMD-0805",10.8210,9.9000,90.0000,bottom
"C4","100nF","SMD-0603",11.8110,5.3595,90.0000,bottom
"C5","100nF","SMD-0603",26.2000,11.5940,0.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",9.0710,9.7750,90.0000,bottom
"D2","LED GREEN","LED_1206_mill",8.5000,13.0000,0.0000,bottom
"D3","LED RED","LED_1206_mill",8.5000,2.0000,0.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9972,7.5000,90.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9972,7.5000,-90.0000,top
"M1","M3","dira_3mm",22.5000,15.0000,0.0000,top
"M2","M3","dira_3mm",12.5000,0.0000,0.0000,top
"M3","M3","dira_3mm",2.5000,0.0000,0.0000,top
"M4","M3","dira_3mm",12.5000,15.0000,0.0000,top
"M5","M3","dira_3mm",22.5000,0.0000,0.0000,top
"M6","M3","dira_3mm",2.5000,15.0000,0.0000,top
"M7","CAP-SF2","CAP-SF2",26.2000,7.5000,180.0000,bottom
"Q1","BC817","SOT-23",14.8590,5.7150,180.0000,bottom
"R1","180R","SMD-0603",7.4210,9.8500,90.0000,bottom
"R2","10k","SMD-0603",18.3895,5.3340,180.0000,bottom
"R3","10k","SMD-0603",17.7800,10.2870,-90.0000,bottom
"R4","180R","SMD-0603",13.3095,2.6670,180.0000,bottom
"R10","10k","SMD-0603",15.4940,10.2615,-90.0000,bottom
"U1","SHT35A-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",26.2000,7.5000,90.0000,bottom
"U3","MIC5504-3.3YM5","SOT-23-5",9.0170,6.0960,90.0000,bottom
